id,true_priority_name,predicted_priority_name,error_direction,manual_primary_category,severity,product,component,summary,description_snippet,severity_is_normal,has_stack_or_exception,has_high_impact_terms,product_focus_platform_or_jdt,component_focus_ui_debug_core,related_pull_to_p1_p2,related_pull_to_p3,related_top1_priority,related_top3_avg_priority,related_top5_avg_priority
5589,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,jdt,debug,invalidstackframeexception updating variables,i believe this just started showing today...note it is an internal error so the .options file is required to see the stack trace. internal error logged from debug ui: org.eclipse.debug.core.debugexception[5010]: com.sun.jdi.invalidstackframeexcept ion at (mirrorim pl.java(compiled code)) at (stackframeimpl.jav a:176) at ject(jdistackframe.java:536) at (jdi stackframe.java:362) at (jdist ackframe.java:225) at (jdista ckframe.java:170) at ( variablescontentprovider.java(compiled code)) at (basi...,True,True,False,True,True,True,False,2.0,2.0,1.6
5657,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,platform,ui,[dialogs] workspace.endoperation should reset subprogress monitor,"from ec: ... the confusion comes from the fact that the eclipse core performs an internal ""update"" after an operation has been performed. thereby it doesn't matter whether the operation was successful or not. because the internal update might take some time - as this is the case for auto build - the update message is posted to the progress monitor but not reset. in your case the following happens: - editor creates and executes a save operation - save operation is executed and throws an except...",True,True,False,True,True,False,True,3.0,3.0,3.2
5953,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,major,platform,ant,ant not compiling all of the java source files in a project,"v1.0 build 0.137 - eclipse (win 2000) v1.0 build 0.137 - ibm websphere studio workbench (win nt 4.0) v2.0 build 20011114 - eclipse (win 2000) using several different build.xml and build.properties files from different projects, but originally based on jakarta struts build files. ant appears to build and compile correctly with no error messages in the console, but the build target directory is always missing some class files. they build correcly in the ide environment, and ant builds standalon...",False,True,False,True,False,False,True,3.0,3.0,3.0
7107,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,jdt,ui,npe in applicationwizardpage,"build 20011218 running the old org.eclipse.jdt.junit.eclipse plugin, i got an npe when i: - selected alltests.java in the eclipse ui jface tests - chose run... from the packages view context menu - chose junit tests as the launcher - hit next here is the stack dump: java.lang.nullpointerexception at .<init> (applicationwizardpage.java:153) at (applicationwizard.java:47) at (wizardselectionpage.java:100) at (wizarddialog.java:639) at (wizarddialog.java:307) at org.eclipse.jface.dialogs.dialog$...",True,True,False,True,True,True,True,3.0,1.6666666666666667,1.4
8763,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,pde,build,problems loading pde project from repository,"build 2002-01-29 on win98. i connected to dev.eclipse.org and loaded ant, boot, runtime, and resources into my workspace no problem. i tried to load pde.core and got the following in my log file. the major difference is that it is a pde project where the others are not. is there a problem in the pde plugin activation? here is the log info: log: wed jan 30 12:01:23 est 2002 2 org.eclipse.core.runtime 2 problems occurred when invoking code from plug-in: org.eclipse.core.runtime. org.eclipse.swt...",True,True,False,False,False,False,True,5.0,3.3333333333333335,2.8
9211,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,major,platform,swt,gp - vm crash in kde.kmimetype_allmimetypes,"with the two latest intergation build (20020129, 20020205) i exprience the same error right after the startup (from the eclipse home): [incze@senorg eclipse]$ ./eclipse & [7] 17416 [incze@senorg eclipse]$ java.lang.unsatisfiedlinkerror: no swt-motif-2025 in java.library.path at java.lang.classloader.loadlibrary(classloader.java:1410) at java.lang.runtime.loadlibrary0(runtime.java at java.lang.system.loadlibrary(system.java:832) at (library.java:102) at org.eclipse.swt.internal.motif.os.<clini...",False,True,True,True,False,False,True,5.0,2.3333333333333335,2.0
10268,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,major,platform,debug,incompatiblethreadstateexception when asking jdithread for stack frames.,after a suspend event with breakpoint as the detail we ask the jdithread for its stack frames and get the following exception: org.eclipse.debug.core.debugexception[5010]: : thread was not suspended. at (threadreferenceimpl.java:179 ) at (threadreferenceimpl.java:158 ) at (jdithrea d.java:528) at (jdithread .java:378) at (jdithread .java:465) at (jdithread.jav a:355) at (eglthread.java:743) at (eglthread.java:700) at (eglthread.java:716 ) at (eglthread.java: 539) at (eglthread.java:281 ) at (...,False,True,False,True,True,True,False,1.0,1.6666666666666667,1.4
10610,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,major,platform,debug,null exception when lauchviewer processing events on remove tree items,"this is a timing problem where events are processed for debugelements that have already been cleaned up. the specific case we have run into involved running a debuggee to completion. this might be difficult to reproduce so the following is the sequence of events in chronological order: 1) user requests to resume the debuggee 2) debugtarget sends a debug change event to update the ""state"" that appears in the debug view. 3) thread(s) send resume events 4) the underlying debug engine resumes and...",False,True,False,True,True,False,True,4.0,3.3333333333333335,3.0
11382,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,major,jdt,debug,null pointer exception opening prefernces for java->installed jre's,i installed the 0314 build. imported all of the plugins as binary projects opened a connection to a local cvs repostiory and checked out one project (benchmarks) noticed complaint about classpath being wrong on the benchmark project. noticed that jre binding was not set either so i went to the preferences opened the installed/jre page and the following exeption was logged: java.lang.nullpointerexception at $3.run(javad ebugoptionsmanager.java:270) at (workspace.java:1292 ) at $5.run(javad ebu...,False,True,False,True,True,True,True,3.0,1.6666666666666667,1.8
12883,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,jdt,ui,npe in problem painter after deleting projects,i've deleted all the source projects in my workspace while i had some editors of these projects open. got the following npe: org.eclipse.swt.swtexception: failed to execute runnable (java.lang.nullpointerexception) at org.eclipse.swt.swt.error(swt.java:1887) at (synchronizer.java(compiled code)) at (display.java (compiled code)) at (display.java (compiled code)) at $modalcontextthread.block (modalcontext.java(compiled code)) at (modalcontext.java:258) at (progressmonitordialog.java:335) at (d...,True,True,True,True,True,True,False,1.0,1.0,1.0
